date,EMPLOYED.ACT.FEMALES,EMPLOYED.ACT.MALES,EMPLOYED.ACT.PERSONS,EMPLOYED.AUS.ADULT.FEMALES.FT,EMPLOYED.AUS.ADULT.MALES.FT,EMPLOYED.AUS.FEMALES,EMPLOYED.AUS.FEMALES.PT,EMPLOYED.AUS.JUNIOR.FEMALES.FT,EMPLOYED.AUS.JUNIOR.MALES.FT,EMPLOYED.AUS.MALES,EMPLOYED.AUS.MALES.PT,EMPLOYED.AUS.PERSONS,EMPLOYED.NSW.FEMALES,EMPLOYED.NSW.MALES,EMPLOYED.NSW.PERSONS,EMPLOYED.NT.FEMALES,EMPLOYED.NT.MALES,EMPLOYED.NT.PERSONS,EMPLOYED.QLD.FEMALES,EMPLOYED.QLD.MALES,EMPLOYED.QLD.PERSONS,EMPLOYED.SA.FEMALES,EMPLOYED.SA.MALES,EMPLOYED.SA.PERSONS,EMPLOYED.TAS.FEMALES,EMPLOYED.TAS.MALES,EMPLOYED.TAS.PERSONS,EMPLOYED.VIC.FEMALES,EMPLOYED.VIC.MALES,EMPLOYED.VIC.PERSONS,EMPLOYED.WA.FEMALES,EMPLOYED.WA.MALES,EMPLOYED.WA.PERSONS
01-Feb-78,0.000123458,0.000101924,4.57E-05,2.36E-05,9.00E-06,1.11E-05,3.39E-05,0.000808741,0.000470764,7.44E-06,0.000133286,3.57E-06,4.05E-05,2.71E-05,1.31E-05,0.000702275,0.00056098,0.000299129,6.25E-05,4.19E-05,2.05E-05,8.18E-05,5.61E-05,2.70E-05,9.78E-05,6.15E-05,2.67E-05,4.89E-05,3.30E-05,1.58E-05,9.26E-05,6.06E-05,3.02E-05
01-Mar-78,0.000123458,0.000101924,4.57E-05,2.36E-05,9.00E-06,1.11E-05,3.39E-05,0.000808741,0.000470764,7.44E-06,0.000133286,3.57E-06,4.05E-05,2.71E-05,1.31E-05,0.000702275,0.00056098,0.000299129,6.25E-05,4.19E-05,2.05E-05,8.18E-05,5.61E-05,2.70E-05,9.78E-05,6.15E-05,2.67E-05,4.89E-05,3.30E-05,1.58E-05,9.26E-05,6.06E-05,3.02E-05
01-Apr-78,0.000123458,0.000101924,4.57E-05,2.36E-05,9.00E-06,1.11E-05,3.39E-05,0.000808741,0.000470764,7.44E-06,0.000133286,3.57E-06,4.05E-05,2.71E-05,1.31E-05,0.000702275,0.00056098,0.000299129,6.25E-05,4.19E-05,2.05E-05,8.18E-05,5.61E-05,2.70E-05,9.78E-05,6.15E-05,2.67E-05,4.89E-05,3.30E-05,1.58E-05,9.26E-05,6.06E-05,3.02E-05
01-May-78,0.000123458,0.000101924,4.57E-05,2.36E-05,9.00E-06,1.11E-05,3.39E-05,0.000808741,0.000470764,7.44E-06,0.000133286,3.57E-06,4.05E-05,2.71E-05,1.31E-05,0.000702275,0.00056098,0.000299129,6.25E-05,4.19E-05,2.05E-05,8.18E-05,5.61E-05,2.70E-05,9.78E-05,6.15E-05,2.67E-05,4.89E-05,3.30E-05,1.58E-05,9.26E-05,6.06E-05,3.02E-05
01-Jun-78,0.000123458,0.000101924,4.57E-05,2.36E-05,9.00E-06,1.11E-05,3.39E-05,0.000808741,0.000470764,7.44E-06,0.000133286,3.57E-06,4.05E-05,2.71E-05,1.31E-05,0.000702275,0.00056098,0.000299129,6.25E-05,4.19E-05,2.05E-05,8.18E-05,5.61E-05,2.70E-05,9.78E-05,6.15E-05,2.67E-05,4.89E-05,3.30E-05,1.58E-05,9.26E-05,6.06E-05,3.02E-05
01-Jul-78,0.000123458,0.000101924,4.57E-05,2.36E-05,9.00E-06,1.11E-05,3.39E-05,0.000808741,0.000470764,7.44E-06,0.000133286,3.57E-06,4.05E-05,2.71E-05,1.31E-05,0.000702275,0.00056098,0.000299129,6.25E-05,4.19E-05,2.05E-05,8.18E-05,5.61E-05,2.70E-05,9.78E-05,6.15E-05,2.67E-05,4.89E-05,3.30E-05,1.58E-05,9.26E-05,6.06E-05,3.02E-05
01-Aug-78,0.000123458,0.000101924,4.57E-05,2.36E-05,9.00E-06,1.11E-05,3.39E-05,0.000808741,0.000470764,7.44E-06,0.000133286,3.57E-06,4.05E-05,2.71E-05,1.31E-05,0.000702275,0.00056098,0.000299129,6.25E-05,4.19E-05,2.05E-05,8.18E-05,5.61E-05,2.70E-05,9.78E-05,6.15E-05,2.67E-05,4.89E-05,3.30E-05,1.58E-05,9.26E-05,6.06E-05,3.02E-05
01-Sep-78,0.000123458,0.000101924,4.57E-05,2.36E-05,9.00E-06,1.11E-05,3.39E-05,0.000808741,0.000470764,7.44E-06,0.000133286,3.57E-06,4.05E-05,2.71E-05,1.31E-05,0.000702275,0.00056098,0.000299129,6.25E-05,4.19E-05,2.05E-05,8.18E-05,5.61E-05,2.70E-05,9.78E-05,6.15E-05,2.67E-05,4.89E-05,3.30E-05,1.58E-05,9.26E-05,6.06E-05,3.02E-05
01-Oct-78,0.000123458,0.000101924,4.57E-05,2.36E-05,9.00E-06,1.11E-05,3.39E-05,0.000808741,0.000470764,7.44E-06,0.000133286,3.57E-06,4.05E-05,2.71E-05,1.31E-05,0.000702275,0.00056098,0.000299129,6.25E-05,4.19E-05,2.05E-05,8.18E-05,5.61E-05,2.70E-05,9.78E-05,6.15E-05,2.67E-05,4.89E-05,3.30E-05,1.58E-05,9.26E-05,6.06E-05,3.02E-05
01-Nov-78,0.000123458,0.000101924,4.57E-05,2.36E-05,9.00E-06,1.11E-05,3.39E-05,0.000808741,0.000470764,7.44E-06,0.000133286,3.57E-06,4.05E-05,2.71E-05,1.31E-05,0.000702275,0.00056098,0.000299129,6.25E-05,4.19E-05,2.05E-05,8.18E-05,5.61E-05,2.70E-05,9.78E-05,6.15E-05,2.67E-05,4.89E-05,3.30E-05,1.58E-05,9.26E-05,6.06E-05,3.02E-05
01-Dec-78,0.000123458,0.000101924,4.57E-05,2.36E-05,9.00E-06,1.11E-05,3.39E-05,0.000808741,0.000470764,7.44E-06,0.000133286,3.57E-06,4.05E-05,2.71E-05,1.31E-05,0.000702275,0.00056098,0.000299129,6.25E-05,4.19E-05,2.05E-05,8.18E-05,5.61E-05,2.70E-05,9.78E-05,6.15E-05,2.67E-05,4.89E-05,3.30E-05,1.58E-05,9.26E-05,6.06E-05,3.02E-05
