Year,Month,UN_SIGMA2U_1,UN_SIGMA2U_2,UN_SIGMA2U_3,UN_SIGMA2U_4,UN_SIGMA2U_5,UN_SIGMA2U_6,UN_SIGMA2U_7,UN_SIGMA2U_8,UN_SIGMA2U_9
1978,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1978,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1978,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1978,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1978,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1978,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1978,8,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1978,9,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1978,10,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1978,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1978,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1979,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1979,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1979,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1979,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1979,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1979,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1979,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1979,8,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1979,9,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1979,10,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1979,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1979,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1980,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1980,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1980,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1980,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1980,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1980,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1980,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1980,8,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1980,9,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1980,10,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1980,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1980,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1981,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1981,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1981,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1981,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1981,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1981,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1981,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1981,8,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1981,9,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1981,10,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1981,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1981,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1982,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1982,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1982,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1982,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1982,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1982,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1982,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1982,8,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1982,9,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1982,10,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1982,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1982,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1983,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1983,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1983,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1983,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1983,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1983,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1983,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1983,8,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1983,9,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1983,10,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1983,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1983,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1984,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1984,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1984,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1984,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1984,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1984,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
